Company,"Notice Date","Impact Date","Employees Affected",Location,"Contact Person","Notice Type","Collective Bargaining Unit"
"Paradies Lagardere",08/28/2025,09/26/2025,55,"Arlington VA","Dino Venianakis",Closure,"Unite Here Local 23 Washington DC Chapter, Anthony Randolph, President, 275 7th Ave., 16th Fl., New York, New York 10001"
Parkdale,08/26/2025,10/24/2025,68,"Hillsville VA","Karen Menting",Closure,
"Butler Human Services a Sauder Manufacturing Co. Brand",08/25/2025,10/24/2025,51,"Chase City  VA","Micah Frankenfield",Closure,
"Lutheran Social Services National Capital Area (LSSNA)",08/11/2025,09/30/2025,52,"Fairfax &amp; Woodbridge VA","Peter  Loew",Layoff,
"Wellmore Energy Company LLC",08/04/2025,10/04/2025,17,"Big Rock VA","Tammy Fields",Layoff,
"Atlantic Dominion Distributors",07/30/2025,09/26/2025,104,"Williamsburg &amp; Virginia Beach, VA 23462 VA","Andrea Tanner",Closure,
"Rochambeau Logistics Inc.",07/22/2025,07/25/2025,63,"Hampton VA","Jeff Aldridge",Closure,
"KIRA Services and KIRA Training Services (TLINGIT HAIDA Tribal Business Corporation) ",07/15/2025,08/11/2025,46,"Virginia Beach VA","Frances  Adragna-Hayes ",Layoff,"International Union of Electrical Workers/Communications Workers of America (IUE-CWA) local 83225, Eric Benjamin, (775) 232-2843, ericbenjamin09@gmail.com"
"Omniplex World Services  Corp.",07/14/2025,07/31/2025,199,"Chantilly VA","Tanni Wiersema",Closure,
"Wellmore Energy Company LLC",07/07/2025,09/06/2025,28,"Grundy VA","Gary Prater",Layoff,
"Wellmore Energy Company LLC",07/07/2025,09/06/2025,27,"Hurley VA","Gary  Prater",Layoff,
"Amentum Operations and Maintenance Services",07/02/2025,08/31/2025,56,"Richmond VA","Dan Feldman",Layoff,
