employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Barclays Card,"Jan 08, 2019",227,WARN,,,3 - Central Western Local Area 3,,180,https://joblink.maine.gov/search/warn_lookups/180
Office Max,"Apr 02, 2019",33,Non-WARN,,,4 - Coastal Counties Local Area 4,,181,https://joblink.maine.gov/search/warn_lookups/181
Sonogee Rehab Center,"Feb 25, 2019",50,Non-WARN,,,1 - Northeastern Workforce Board,,183,https://joblink.maine.gov/search/warn_lookups/183
Consolidated Communications,"Apr 12, 2019",0,Non-WARN,,,3 - Central Western Local Area 3,,184,https://joblink.maine.gov/search/warn_lookups/184
Tim Hortons,"Mar 16, 2019",22,Non-WARN,,,1 - Northeastern Workforce Board,,185,https://joblink.maine.gov/search/warn_lookups/185
Southern Kennebec Child Development,"Apr 03, 2019",15,Non-WARN,,,3 - Central Western Local Area 3,,186,https://joblink.maine.gov/search/warn_lookups/186
AthenaHealth,"Apr 16, 2019",20,Non-WARN,,,4 - Coastal Counties Local Area 4,,187,https://joblink.maine.gov/search/warn_lookups/187
Propesct Hill Golf Course,"Apr 25, 2019",1,Non-WARN,,,3 - Central Western Local Area 3,,188,https://joblink.maine.gov/search/warn_lookups/188
Edward Laga DDS,"Apr 29, 2019",5,Non-WARN,,,1 - Northeastern Workforce Board,,189,https://joblink.maine.gov/search/warn_lookups/189
DaaQuam Lumber,"Apr 09, 2019",24,Non-WARN,,,1 - Northeastern Workforce Board,,190,https://joblink.maine.gov/search/warn_lookups/190
Famiies And Children Together,"Apr 29, 2019",12,Non-WARN,,,1 - Northeastern Workforce Board,,191,https://joblink.maine.gov/search/warn_lookups/191
fat cats cafe,"May 02, 2019",4,Non-WARN,,,3 - Central Western Local Area 3,,192,https://joblink.maine.gov/search/warn_lookups/192
Broadreach Family & Community Services,"May 22, 2019",79,Non-WARN,,,3 - Central Western Local Area 3,,193,https://joblink.maine.gov/search/warn_lookups/193
Dressbarn,"May 21, 2019",8,Non-WARN,,,3 - Central Western Local Area 3,,194,https://joblink.maine.gov/search/warn_lookups/194
Thornton Academy,"May 15, 2019",8,Non-WARN,,,4 - Coastal Counties Local Area 4,,195,https://joblink.maine.gov/search/warn_lookups/195
Friendlys,"May 28, 2019",32,Non-WARN,,,4 - Coastal Counties Local Area 4,,196,https://joblink.maine.gov/search/warn_lookups/196
Dress Barn,"May 21, 2019",7,Non-WARN,,,4 - Coastal Counties Local Area 4,,197,https://joblink.maine.gov/search/warn_lookups/197
Dress Barn,"May 21, 2019",6,Non-WARN,,,4 - Coastal Counties Local Area 4,,198,https://joblink.maine.gov/search/warn_lookups/198
Dress Barn,"May 21, 2019",9,Non-WARN,,,4 - Coastal Counties Local Area 4,,199,https://joblink.maine.gov/search/warn_lookups/199
Point Lookout Resort,"Jun 07, 2019",70,Non-WARN,,,4 - Coastal Counties Local Area 4,,200,https://joblink.maine.gov/search/warn_lookups/200
Pet Life - Augusta,"Jun 05, 2019",5,Non-WARN,,,3 - Central Western Local Area 3,,201,https://joblink.maine.gov/search/warn_lookups/201
Pet Life,"Jun 03, 2019",11,Non-WARN,,,3 - Central Western Local Area 3,,202,https://joblink.maine.gov/search/warn_lookups/202
RH Foster,"Jun 10, 2019",7,Non-WARN,,,1 - Northeastern Workforce Board,,203,https://joblink.maine.gov/search/warn_lookups/203
F&A Market,"Jun 17, 2019",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,204,https://joblink.maine.gov/search/warn_lookups/204
Broadway Hardware,"Jun 19, 2019",3,Non-WARN,,,1 - Northeastern Workforce Board,,205,https://joblink.maine.gov/search/warn_lookups/205
Maine Made Furniture Wilton,"Mar 25, 2019",5,Non-WARN,,,3 - Central Western Local Area 3,,206,https://joblink.maine.gov/search/warn_lookups/206
McCain Foods,"May 24, 2019",60,Non-WARN,,,1 - Northeastern Workforce Board,,207,https://joblink.maine.gov/search/warn_lookups/207
ReEnergy Holding,"Mar 29, 2019",24,Non-WARN,,,1 - Northeastern Workforce Board,,208,https://joblink.maine.gov/search/warn_lookups/208
Jagger,"Feb 11, 2019",19,Non-WARN,,,4 - Coastal Counties Local Area 4,,209,https://joblink.maine.gov/search/warn_lookups/209
The Dress Barn,"May 21, 2019",8,Non-WARN,,,1 - Northeastern Workforce Board,,210,https://joblink.maine.gov/search/warn_lookups/210
Habitat for Humanity Restore,"May 17, 2019",3,Non-WARN,,,1 - Northeastern Workforce Board,,211,https://joblink.maine.gov/search/warn_lookups/211
US Access / Global Environmental,"Apr 16, 2019",12,Non-WARN,,,3 - Central Western Local Area 3,,212,https://joblink.maine.gov/search/warn_lookups/212
Sears Houlton,"Jun 19, 2019",4,Non-WARN,,,1 - Northeastern Workforce Board,,213,https://joblink.maine.gov/search/warn_lookups/213
Kanon Communications,"Jun 24, 2019",3,Non-WARN,,,3 - Central Western Local Area 3,,214,https://joblink.maine.gov/search/warn_lookups/214
Open Door Recovery,"Jul 01, 2019",23,Non-WARN,,,1 - Northeastern Workforce Board,,215,https://joblink.maine.gov/search/warn_lookups/215
Stratton Lumber,"Jul 10, 2019",21,Non-WARN,,,3 - Central Western Local Area 3,,216,https://joblink.maine.gov/search/warn_lookups/216
Sitel,"Jul 16, 2019",94,WARN,,,1 - Northeastern Workforce Board,,217,https://joblink.maine.gov/search/warn_lookups/217
Ellsworth Collision and Service,"Jul 29, 2019",0,Non-WARN,,,4 - Coastal Counties Local Area 4,,218,https://joblink.maine.gov/search/warn_lookups/218
Lowe's,"Aug 01, 2019",4,Non-WARN,,,3 - Central Western Local Area 3,,219,https://joblink.maine.gov/search/warn_lookups/219
Consolidated Communications,"Jul 30, 2019",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,220,https://joblink.maine.gov/search/warn_lookups/220
Covenant Health,"Jul 31, 2019",73,WARN,,,3 - Central Western Local Area 3,,221,https://joblink.maine.gov/search/warn_lookups/221
Silly's,"Aug 23, 2019",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,222,https://joblink.maine.gov/search/warn_lookups/222
Lolita,"Aug 14, 2019",0,Non-WARN,,,4 - Coastal Counties Local Area 4,,223,https://joblink.maine.gov/search/warn_lookups/223
Mid-State Machine,"Sep 06, 2019",9,Non-WARN,,,3 - Central Western Local Area 3,,224,https://joblink.maine.gov/search/warn_lookups/224
Walgreens,"Sep 05, 2019",10,Non-WARN,,,3 - Central Western Local Area 3,,225,https://joblink.maine.gov/search/warn_lookups/225
Kmart,"Sep 03, 2019",38,Non-WARN,Augusta,04330,3 - Central Western Local Area 3,"58 Western Ave; Augusta, Maine 04330",226,https://joblink.maine.gov/search/warn_lookups/226
Kmart,"Sep 03, 2019",60,Non-WARN,,,3 - Central Western Local Area 3,,227,https://joblink.maine.gov/search/warn_lookups/227
Castle Builders,"Sep 06, 2019",23,Non-WARN,,,4 - Coastal Counties Local Area 4,,228,https://joblink.maine.gov/search/warn_lookups/228
Point Lookout,"Sep 20, 2019",75,Non-WARN,,,4 - Coastal Counties Local Area 4,,229,https://joblink.maine.gov/search/warn_lookups/229
Yamas Bar and Grill,"Oct 18, 2019",12,Non-WARN,,,1 - Northeastern Workforce Board,,230,https://joblink.maine.gov/search/warn_lookups/230
Friend and Friend,"Sep 27, 2019",10,Non-WARN,,,1 - Northeastern Workforce Board,,231,https://joblink.maine.gov/search/warn_lookups/231
Olympia Sports,"Oct 18, 2019",0,Non-WARN,,,1 - Northeastern Workforce Board,,233,https://joblink.maine.gov/search/warn_lookups/233
Bangor News and Gifts,"Oct 18, 2019",0,Non-WARN,,,1 - Northeastern Workforce Board,,234,https://joblink.maine.gov/search/warn_lookups/234
The Tan Turtle,"Oct 18, 2019",0,Non-WARN,,,1 - Northeastern Workforce Board,,235,https://joblink.maine.gov/search/warn_lookups/235
Olympia Sports,"Oct 15, 2019",13,Non-WARN,,,3 - Central Western Local Area 3,,236,https://joblink.maine.gov/search/warn_lookups/236
Cunningham Security,"Oct 02, 2019",11,Non-WARN,,,4 - Coastal Counties Local Area 4,,237,https://joblink.maine.gov/search/warn_lookups/237
Olympia Sports,"Oct 10, 2019",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,238,https://joblink.maine.gov/search/warn_lookups/238
Olympia Sports,"Nov 04, 2019",9,Non-WARN,,,4 - Coastal Counties Local Area 4,,239,https://joblink.maine.gov/search/warn_lookups/239
Olympia Sports,"Nov 04, 2019",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,240,https://joblink.maine.gov/search/warn_lookups/240
Olympia Sports,"Nov 04, 2019",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,241,https://joblink.maine.gov/search/warn_lookups/241
Victor News,"Oct 03, 2019",4,Non-WARN,,,3 - Central Western Local Area 3,,242,https://joblink.maine.gov/search/warn_lookups/242
Olympia Sports Warehouse,"Oct 29, 2019",75,WARN,,,4 - Coastal Counties Local Area 4,,243,https://joblink.maine.gov/search/warn_lookups/243
Edward H. Best,"Nov 15, 2019",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,244,https://joblink.maine.gov/search/warn_lookups/244
Family Dollar,"Nov 21, 2019",0,Non-WARN,,,1 - Northeastern Workforce Board,,245,https://joblink.maine.gov/search/warn_lookups/245
A.C. Moore,"Nov 27, 2019",35,Non-WARN,,,1 - Northeastern Workforce Board,,246,https://joblink.maine.gov/search/warn_lookups/246
The Daniel,"Nov 01, 2019",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,247,https://joblink.maine.gov/search/warn_lookups/247
Specialty Sweets,"Oct 28, 2019",5,Non-WARN,,,1 - Northeastern Workforce Board,,248,https://joblink.maine.gov/search/warn_lookups/248
Growers Express,"Dec 29, 2019",93,WARN,,,4 - Coastal Counties Local Area 4,,249,https://joblink.maine.gov/search/warn_lookups/249
The County Diner,"Dec 29, 2019",14,Non-WARN,,,1 - Northeastern Workforce Board,,260,https://joblink.maine.gov/search/warn_lookups/260
A.C. Moore,"Nov 26, 2019",15,Non-WARN,,,3 - Central Western Local Area 3,,265,https://joblink.maine.gov/search/warn_lookups/265
Staffing Solutions,"Nov 26, 2019",3,Non-WARN,,,3 - Central Western Local Area 3,,266,https://joblink.maine.gov/search/warn_lookups/266
Olympia Sports,"Oct 10, 2019",8,Non-WARN,,,3 - Central Western Local Area 3,,267,https://joblink.maine.gov/search/warn_lookups/267
Build A Bear,"Jan 04, 2018",10,Non-WARN,,,1 - Northeastern Workforce Board,,117,https://joblink.maine.gov/search/warn_lookups/117
Sears,"Jan 08, 2018",46,Non-WARN,,,1 - Northeastern Workforce Board,,118,https://joblink.maine.gov/search/warn_lookups/118
Toys R Us,"Jan 24, 2018",25,Non-WARN,,,1 - Northeastern Workforce Board,,119,https://joblink.maine.gov/search/warn_lookups/119
Pac Sun,"Jan 19, 2018",4,Non-WARN,,,1 - Northeastern Workforce Board,,120,https://joblink.maine.gov/search/warn_lookups/120
Maine Cloth Diaper,"Jan 22, 2018",3,Non-WARN,,,1 - Northeastern Workforce Board,,121,https://joblink.maine.gov/search/warn_lookups/121
Nautel,"Jan 29, 2018",100,Non-WARN,,,1 - Northeastern Workforce Board,,123,https://joblink.maine.gov/search/warn_lookups/123
Downeast Corrections,"Feb 09, 2018",39,Non-WARN,,,1 - Northeastern Workforce Board,,124,https://joblink.maine.gov/search/warn_lookups/124
Eastern Maine HealthSystems,"Feb 15, 2018",6,Non-WARN,,,1 - Northeastern Workforce Board,,125,https://joblink.maine.gov/search/warn_lookups/125
Bath Iron Works Local S6,"Feb 09, 2018",57,Non-WARN,,,4 - Coastal Counties Local Area 4,,126,https://joblink.maine.gov/search/warn_lookups/126
Mega Industries,"Feb 26, 2018",6,Non-WARN,,,4 - Coastal Counties Local Area 4,,133,https://joblink.maine.gov/search/warn_lookups/133
Thomas Moser,"Feb 26, 2018",8,Non-WARN,,,3 - Central Western Local Area 3,,134,https://joblink.maine.gov/search/warn_lookups/134
BIW,"Feb 27, 2018",25,Non-WARN,,,4 - Coastal Counties Local Area 4,,135,https://joblink.maine.gov/search/warn_lookups/135
ESOCO Orrington LLC,"Mar 16, 2018",17,Non-WARN,Orrington,04474,1 - Northeastern Workforce Board,"29 Industrial Way; Orrington, Maine 04474",136,https://joblink.maine.gov/search/warn_lookups/136
Maine State Legislative Support,"Mar 23, 2018",13,Non-WARN,,,3 - Central Western Local Area 3,,137,https://joblink.maine.gov/search/warn_lookups/137
Southern Kennebec Child Development  (SKCDC),"Mar 26, 2018",12,Non-WARN,,,3 - Central Western Local Area 3,,138,https://joblink.maine.gov/search/warn_lookups/138
Controlled Environment Equipment Corp.,"Mar 28, 2018",12,Non-WARN,,,4 - Coastal Counties Local Area 4,,139,https://joblink.maine.gov/search/warn_lookups/139
Bath Iron Works,"Apr 10, 2018",31,Non-WARN,,,4 - Coastal Counties Local Area 4,,140,https://joblink.maine.gov/search/warn_lookups/140
Rolandeau's Restaurant,"May 10, 2018",10,Non-WARN,,,3 - Central Western Local Area 3,,141,https://joblink.maine.gov/search/warn_lookups/141
Stored Solar,"Mar 30, 2018",25,Non-WARN,,,1 - Northeastern Workforce Board,,142,https://joblink.maine.gov/search/warn_lookups/142
Maine Military Authority,"May 30, 2018",65,Non-WARN,,,1 - Northeastern Workforce Board,,143,https://joblink.maine.gov/search/warn_lookups/143
Norway Laundry,"Jun 19, 2018",12,Non-WARN,,,3 - Central Western Local Area 3,,144,https://joblink.maine.gov/search/warn_lookups/144
Cuddledown,"Feb 02, 2018",26,Non-WARN,,,4 - Coastal Counties Local Area 4,,145,https://joblink.maine.gov/search/warn_lookups/145
Maine Girls' Academy,"Jul 05, 2018",20,Non-WARN,,,4 - Coastal Counties Local Area 4,,146,https://joblink.maine.gov/search/warn_lookups/146
Sears,"Jun 18, 2018",3,Non-WARN,,,1 - Northeastern Workforce Board,,147,https://joblink.maine.gov/search/warn_lookups/147
Mount Heights Health Care Facility,"Aug 02, 2018",53,Non-WARN,,,1 - Northeastern Workforce Board,,148,https://joblink.maine.gov/search/warn_lookups/148
Ledgeview Living Center,"Aug 10, 2018",122,WARN,,,3 - Central Western Local Area 3,,149,https://joblink.maine.gov/search/warn_lookups/149
Farmington Coca- Cola,"Aug 09, 2018",6,Non-WARN,,,3 - Central Western Local Area 3,,150,https://joblink.maine.gov/search/warn_lookups/150
Consolidated Communications Bangor,"Sep 05, 2018",33,Non-WARN,,,1 - Northeastern Workforce Board,,151,https://joblink.maine.gov/search/warn_lookups/151
Consolidated Communications Portland,"Sep 05, 2018",30,Non-WARN,,,4 - Coastal Counties Local Area 4,,152,https://joblink.maine.gov/search/warn_lookups/152
Fuel Bistro,"Aug 29, 2018",16,Non-WARN,,,3 - Central Western Local Area 3,,153,https://joblink.maine.gov/search/warn_lookups/153
Northeast Publishing Company,"Aug 29, 2018",17,Non-WARN,,,1 - Northeastern Workforce Board,,154,https://joblink.maine.gov/search/warn_lookups/154
Southern New Hampshire University,"Oct 17, 2018",8,Non-WARN,,,4 - Coastal Counties Local Area 4,,156,https://joblink.maine.gov/search/warn_lookups/156
Bridgton Health and Residential,"Oct 01, 2018",50,Non-WARN,,,4 - Coastal Counties Local Area 4,,157,https://joblink.maine.gov/search/warn_lookups/157
Freeport Nrsing and Rehab Center,"Oct 01, 2018",70,Non-WARN,,,4 - Coastal Counties Local Area 4,,158,https://joblink.maine.gov/search/warn_lookups/158
Tri County Rescue,"Oct 17, 2018",12,Non-WARN,,,3 - Central Western Local Area 3,,159,https://joblink.maine.gov/search/warn_lookups/159
Carbonite,"Nov 02, 2018",5,Non-WARN,,,3 - Central Western Local Area 3,,160,https://joblink.maine.gov/search/warn_lookups/160
Landmark,"Nov 05, 2018",6,Non-WARN,,,3 - Central Western Local Area 3,,161,https://joblink.maine.gov/search/warn_lookups/161
Emery Waterhouse,"Oct 10, 2018",150,WARN,,,4 - Coastal Counties Local Area 4,,162,https://joblink.maine.gov/search/warn_lookups/162
Thomas Moser,"Nov 06, 2018",8,Non-WARN,,,3 - Central Western Local Area 3,,163,https://joblink.maine.gov/search/warn_lookups/163
Weber Machine USA,"Nov 12, 2018",3,Non-WARN,,,1 - Northeastern Workforce Board,,165,https://joblink.maine.gov/search/warn_lookups/165
Lighting Concepts,"Dec 10, 2018",3,Non-WARN,,,3 - Central Western Local Area 3,,166,https://joblink.maine.gov/search/warn_lookups/166
Congressman Bruce Poliquin,"Dec 17, 2018",8,Non-WARN,,,3 - Central Western Local Area 3,,167,https://joblink.maine.gov/search/warn_lookups/167
Christmas Tree Acres,"Dec 09, 2018",4,Non-WARN,,,3 - Central Western Local Area 3,,168,https://joblink.maine.gov/search/warn_lookups/168
Access Worldwide,"Nov 02, 2018",20,Non-WARN,,,3 - Central Western Local Area 3,,169,https://joblink.maine.gov/search/warn_lookups/169
Affordable Appliance,"Dec 05, 2018",2,Non-WARN,,,3 - Central Western Local Area 3,,170,https://joblink.maine.gov/search/warn_lookups/170
Liberty Mutual,"Dec 10, 2018",39,Non-WARN,,,3 - Central Western Local Area 3,,171,https://joblink.maine.gov/search/warn_lookups/171
Payless Shoes,"Dec 07, 2018",4,Non-WARN,,,3 - Central Western Local Area 3,,173,https://joblink.maine.gov/search/warn_lookups/173
Times Record,"Dec 04, 2018",4,Non-WARN,,,3 - Central Western Local Area 3,,174,https://joblink.maine.gov/search/warn_lookups/174
ReEnergy Holdings,"Nov 30, 2018",21,Non-WARN,,,1 - Northeastern Workforce Board,,175,https://joblink.maine.gov/search/warn_lookups/175
Covenant Health- St. Mary's,"Nov 20, 2018",3,Non-WARN,,,3 - Central Western Local Area 3,,176,https://joblink.maine.gov/search/warn_lookups/176
Post Consumer Brands/Weetabix,"Nov 19, 2018",50,Non-WARN,,,1 - Northeastern Workforce Board,,182,https://joblink.maine.gov/search/warn_lookups/182
Verso Paper,"Nov 01, 2017",150,WARN,,,3 - Central Western Local Area 3,,54,https://joblink.maine.gov/search/warn_lookups/54
Marden's,"Jan 08, 2017",7,Non-WARN,,,1 - Northeastern Workforce Board,,55,https://joblink.maine.gov/search/warn_lookups/55
Northern Bay Residential Care,"Jan 01, 2017",20,Non-WARN,,,1 - Northeastern Workforce Board,,56,https://joblink.maine.gov/search/warn_lookups/56
Northern Girl,"Mar 03, 2017",9,Non-WARN,,,1 - Northeastern Workforce Board,,61,https://joblink.maine.gov/search/warn_lookups/61
Macy's,"Jan 07, 2017",65,Non-WARN,,,1 - Northeastern Workforce Board,,62,https://joblink.maine.gov/search/warn_lookups/62
Chippewa,"Feb 03, 2017",26,Non-WARN,,,1 - Northeastern Workforce Board,,63,https://joblink.maine.gov/search/warn_lookups/63
Hannaford,"Mar 01, 2017",13,Non-WARN,,,1 - Northeastern Workforce Board,,65,https://joblink.maine.gov/search/warn_lookups/65
Le Garage,"Apr 24, 2017",25,Non-WARN,,,4 - Coastal Counties Local Area 4,,66,https://joblink.maine.gov/search/warn_lookups/66
BIW,"Apr 24, 2017",50,Non-WARN,,,4 - Coastal Counties Local Area 4,,67,https://joblink.maine.gov/search/warn_lookups/67
The Yard at the Mill,"Apr 27, 2017",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,68,https://joblink.maine.gov/search/warn_lookups/68
Dollar Express/Family Dollar,"Apr 03, 2017",8,WARN,,,3 - Central Western Local Area 3,,69,https://joblink.maine.gov/search/warn_lookups/69
Dollar Express/Family Dollar,"Apr 03, 2017",5,WARN,,,3 - Central Western Local Area 3,,70,https://joblink.maine.gov/search/warn_lookups/70
Dollar Express/Family Dollar,"Apr 03, 2017",5,WARN,,,3 - Central Western Local Area 3,,71,https://joblink.maine.gov/search/warn_lookups/71
Chaffee Transport,"Apr 07, 2017",2,Non-WARN,,,3 - Central Western Local Area 3,,72,https://joblink.maine.gov/search/warn_lookups/72
JC Penney,"Apr 03, 2017",26,Non-WARN,,,4 - Coastal Counties Local Area 4,,73,https://joblink.maine.gov/search/warn_lookups/73
Payless Shoes,"Apr 11, 2017",3,Non-WARN,,,1 - Northeastern Workforce Board,,74,https://joblink.maine.gov/search/warn_lookups/74
Payless Shoes,"Apr 12, 2017",5,Non-WARN,,,1 - Northeastern Workforce Board,,75,https://joblink.maine.gov/search/warn_lookups/75
Dollar Express/Family Dollar,"May 01, 2017",5,Non-WARN,,,4 - Coastal Counties Local Area 4,,76,https://joblink.maine.gov/search/warn_lookups/76
Rue 21,"Apr 18, 2017",15,Non-WARN,,,1 - Northeastern Workforce Board,,77,https://joblink.maine.gov/search/warn_lookups/77
Payless,"Apr 10, 2017",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,78,https://joblink.maine.gov/search/warn_lookups/78
Rue 21,"Apr 26, 2017",3,Non-WARN,,,4 - Coastal Counties Local Area 4,,79,https://joblink.maine.gov/search/warn_lookups/79
Pizza Hut,"May 08, 2017",14,Non-WARN,,,4 - Coastal Counties Local Area 4,,80,https://joblink.maine.gov/search/warn_lookups/80
Profile Ford- Blueberry/Cranberry Ford,"May 15, 2017",10,Non-WARN,,,1 - Northeastern Workforce Board,,81,https://joblink.maine.gov/search/warn_lookups/81
Rue 21,"Apr 18, 2017",15,Non-WARN,,,1 - Northeastern Workforce Board,,82,https://joblink.maine.gov/search/warn_lookups/82
Windham Millwork,"May 08, 2017",15,Non-WARN,,,4 - Coastal Counties Local Area 4,,83,https://joblink.maine.gov/search/warn_lookups/83
Mr. Mike's,"May 24, 2017",8,Non-WARN,,,4 - Coastal Counties Local Area 4,,84,https://joblink.maine.gov/search/warn_lookups/84
Family Dollar,"May 05, 2017",8,WARN,,,4 - Coastal Counties Local Area 4,,85,https://joblink.maine.gov/search/warn_lookups/85
Bridge Restaurant,"Jun 19, 2017",7,Non-WARN,,,1 - Northeastern Workforce Board,,87,https://joblink.maine.gov/search/warn_lookups/87
Southern Kennebec Child Development,"May 01, 2017",12,Non-WARN,,,3 - Central Western Local Area 3,,88,https://joblink.maine.gov/search/warn_lookups/88
Bon-Ton,"Jun 15, 2017",55,Non-WARN,,,4 - Coastal Counties Local Area 4,,89,https://joblink.maine.gov/search/warn_lookups/89
Ace Hardware,"Jul 17, 2017",26,Non-WARN,,,4 - Coastal Counties Local Area 4,,90,https://joblink.maine.gov/search/warn_lookups/90
Asian Taste,"Jul 16, 2017",26,Non-WARN,,,4 - Coastal Counties Local Area 4,,93,https://joblink.maine.gov/search/warn_lookups/93
Solo Bistro,"Jul 31, 2017",15,Non-WARN,,,4 - Coastal Counties Local Area 4,,94,https://joblink.maine.gov/search/warn_lookups/94
Ravens Roost,"Aug 01, 2017",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,95,https://joblink.maine.gov/search/warn_lookups/95
Surgi-Care Inc.,"Aug 14, 2017",1,Non-WARN,,,4 - Coastal Counties Local Area 4,,96,https://joblink.maine.gov/search/warn_lookups/96
Walkers Family Restaurant,"Sep 05, 2017",30,Non-WARN,,,4 - Coastal Counties Local Area 4,,97,https://joblink.maine.gov/search/warn_lookups/97
Cornerstone Christian Academy,"Sep 01, 2017",8,Non-WARN,,,1 - Northeastern Workforce Board,,98,https://joblink.maine.gov/search/warn_lookups/98
Ecoshel,"Jul 10, 2017",11,Non-WARN,,,1 - Northeastern Workforce Board,,99,https://joblink.maine.gov/search/warn_lookups/99
Vacationland Bowling,"Sep 19, 2017",4,Non-WARN,,,4 - Coastal Counties Local Area 4,,100,https://joblink.maine.gov/search/warn_lookups/100
Southgate Restaurant,"Sep 27, 2017",10,Non-WARN,,,4 - Coastal Counties Local Area 4,,101,https://joblink.maine.gov/search/warn_lookups/101
National Wood Products,"Oct 19, 2017",20,Non-WARN,,,3 - Central Western Local Area 3,,102,https://joblink.maine.gov/search/warn_lookups/102
Owens Corning Composite Materials,"Oct 09, 2017",60,WARN,,,4 - Coastal Counties Local Area 4,,103,https://joblink.maine.gov/search/warn_lookups/103
Owens Corning Composite Materials,"Oct 09, 2017",60,WARN,,,4 - Coastal Counties Local Area 4,,104,https://joblink.maine.gov/search/warn_lookups/104
"Moosewood Millworks, LLC","Oct 16, 2017",11,Non-WARN,,,1 - Northeastern Workforce Board,,105,https://joblink.maine.gov/search/warn_lookups/105
Davids KPT Restaurant,"Oct 30, 2017",40,Non-WARN,,,4 - Coastal Counties Local Area 4,,106,https://joblink.maine.gov/search/warn_lookups/106
Chaffee Transport,"Oct 26, 2017",1,Non-WARN,,,3 - Central Western Local Area 3,,107,https://joblink.maine.gov/search/warn_lookups/107
Eastern Maine Development Corp.,"Nov 21, 2017",10,Non-WARN,,,1 - Northeastern Workforce Board,,108,https://joblink.maine.gov/search/warn_lookups/108
Sitel,"Dec 08, 2017",150,WARN,,,1 - Northeastern Workforce Board,,109,https://joblink.maine.gov/search/warn_lookups/109
St. Josephs College,"Dec 08, 2017",19,Non-WARN,,,4 - Coastal Counties Local Area 4,,110,https://joblink.maine.gov/search/warn_lookups/110
Cosmic Charlies,"Dec 07, 2017",11,Non-WARN,,,3 - Central Western Local Area 3,,111,https://joblink.maine.gov/search/warn_lookups/111
Charming Charlies,"Dec 06, 2017",12,Non-WARN,,,3 - Central Western Local Area 3,,112,https://joblink.maine.gov/search/warn_lookups/112
Somerset Manor,"Dec 08, 2017",6,Non-WARN,,,3 - Central Western Local Area 3,,113,https://joblink.maine.gov/search/warn_lookups/113
Thomas Moser,"Dec 08, 2017",67,Non-WARN,,,3 - Central Western Local Area 3,,114,https://joblink.maine.gov/search/warn_lookups/114
Boivans Harvet House,"Dec 18, 2017",13,Non-WARN,,,3 - Central Western Local Area 3,,115,https://joblink.maine.gov/search/warn_lookups/115
KBS Builders,"Dec 21, 2017",20,Non-WARN,,,3 - Central Western Local Area 3,,116,https://joblink.maine.gov/search/warn_lookups/116
Dairy Queen,"Dec 18, 2017",8,Non-WARN,,,3 - Central Western Local Area 3,,122,https://joblink.maine.gov/search/warn_lookups/122
Madison Paper Industries,"Mar 14, 2016",210,WARN,,,3 - Central Western Local Area 3,,49,https://joblink.maine.gov/search/warn_lookups/49
Maine Made Furniture,"Aug 31, 2016",10,Non-WARN,,,3 - Central Western Local Area 3,,53,https://joblink.maine.gov/search/warn_lookups/53
Bibo's Madd Apple Cafe,"Dec 31, 2016",6,Non-WARN,,,4 - Coastal Counties Local Area 4,,57,https://joblink.maine.gov/search/warn_lookups/57
KBS,"Nov 01, 2016",55,Non-WARN,,,3 - Central Western Local Area 3,,58,https://joblink.maine.gov/search/warn_lookups/58
Denny's,"Dec 23, 2016",40,Non-WARN,,,4 - Coastal Counties Local Area 4,,59,https://joblink.maine.gov/search/warn_lookups/59
Weatherend Furniture,"Oct 20, 2016",9,Non-WARN,,,4 - Coastal Counties Local Area 4,,60,https://joblink.maine.gov/search/warn_lookups/60
Evergreen Manufacturing,"Feb 19, 2016",31,Non-WARN,,,1 - Northeastern Workforce Board,,64,https://joblink.maine.gov/search/warn_lookups/64
Sears - Augusta,"Dec 27, 2016",35,Non-WARN,Augusta,04330,3 - Central Western Local Area 3,"10 Whitten Road; Augusta, Maine 04330",326,https://joblink.maine.gov/search/warn_lookups/326
Expera,"Oct 12, 2015",220,WARN,,,1 - Northeastern Workforce Board,,50,https://joblink.maine.gov/search/warn_lookups/50
Lincoln Paper and Tissue,"Sep 28, 2015",200,WARN,,,1 - Northeastern Workforce Board,,86,https://joblink.maine.gov/search/warn_lookups/86
Cascade Fiber,"Jun 29, 2015",200,WARN,,,3 - Central Western Local Area 3,,132,https://joblink.maine.gov/search/warn_lookups/132
Corinth Wood Pellets,"Sep 20, 2015",15,Non-WARN,,,1 - Northeastern Workforce Board,,155,https://joblink.maine.gov/search/warn_lookups/155
Verso Paper,"Oct 01, 2014",500,WARN,Bucksport,04416,1 - Northeastern Workforce Board,"2 River Rd; Bucksport, Maine 04416",52,https://joblink.maine.gov/search/warn_lookups/52
