Company,Notice Date,Impact Date,Employees Affected,Location,Contact Person,Reduction in Force,Collective Bargaining Unit
Yellow Trucking (YRC Freight) Teamsters Local 592,07/30/2023,07/30/2023,70,Chesterfield VA,Jim Smith,Closure<br>,"President, James R. Smith, teamsterslocal592@comcast.net"
Yellow Trucking (YRC Freight) Teamsters Local 822,07/30/2023,07/30/2023,37,Chesapeake VA,J.R. Ortiz,Closure<br>,"Teamsters LU No 822, President James A. Wright, teamsters822@gmail.com"
Yellow Trucking (YRC Freight) Teamsters Local 639,07/30/2023,07/30/2023,23,Manassas VA,John Estes,Closure<br>,
Yellow Trucking (YRC Freight) Teamsters Local 171,07/30/2023,07/30/2023,24,Roanoke VA,Todd Robertson,Closure<br>,"President, Michael T. Robertson, local171@comcast.net"
Yellow Trucking (YRC Freight) Teamsters Local 29,07/30/2023,07/30/2023,24,Fishersville VA,Matt Martin,Closure<br>,"Teamsters LU No 29, Secretary-Treasurer William M. Martin, 1mattmartin@gmail.com"
QOMPLX,07/20/2023,08/01/2023,60,Tysons VA,Kevin Amrine,Closure<br>,
"Portfolio Recovery Associates, LLC (PRA Group Inc.)",07/18/2023,10/20/2023,123,Danville VA,Gina Hughes,Closure<br>,
Walmart Neighborhood Market (Store 3885),07/11/2023,10/06/2023,98,Richmond VA,Greg Holt,Closure<br>,
"Wellmore Energy Company, LLC (Black Watch Operations)",07/11/2023,09/10/2023,1,Grundy VA,Gary Prater,Layoff<br>,
"Wellmore Energy Company, LLC (Company Trucks, Safety and Engineering)",07/11/2023,09/10/2023,12,Grundy VA,Gary Prater,Layoff<br>,
"Wellmore Energy Company, LLC (Elk Creek)",07/11/2023,09/10/2023,58,Hurley VA,Gary Prater,Layoff<br>,
"Wellmore Energy Company, LLC (Laboratory)",07/11/2023,09/10/2023,2,Big Rock VA,Gary Prater,Layoff<br>,
"Wellmore Energy Company, LLC (Paw Paw 2 North)",07/11/2023,09/10/2023,20,Hurley VA,Gary Prater,Layoff<br>,
"Wellmore Energy Company, LLC (Paw Paw 2 South)",07/11/2023,09/10/2023,39,Big Rock VA,Gary Prater,Layoff<br>,
"Wellmore Energy Company, LLC (Surface Minerals)",07/11/2023,09/10/2023,15,Grundy VA,Gary Prater,Layoff<br>,
"Wellmore Energy Compnay, LLC (Black Watch Shop and Central Warehouse)",07/11/2023,09/10/2023,3,Big Rock VA,Gary Prater,Layoff<br>,
