Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Unison (formerly known as: Interfaith Older Adult Programs Inc.),"Milwaukee, Cudahy, Brown Deer",53,1/18/2019,CL,12/21/2018,Services for the Elderly & Disabled,Milwaukee,Milwaukee
Lacrosse Hardwood Flooring,Westby,65,1/22/2019,CL,03/18/2019,Misc Wood Product Mfg,Vernon,Western
Pepin Health and Rehab,Pepin,54,1/22/2019,CL,03/23/2019,Continuing Care Retirement Communities,Pepin,West Central
Alkar-Rapid Pak Inc,Lodi,30,1/28/2019,WR,01/22/2019,Food Product Machinery Mfg,Columbia,South Central
Prinsco,Appleton,33,12/5/2018,CL,02/04/2019,Plastics Pipe & Pipe Fitting Mfg,Outagamie,Bay Area
GE Global Operations,Wauwatosa,63,11/26/2018,WR,01/12/2019,Electromedical Apparatus Mfg,Milwaukee,Milwaukee
Kmart Corporation,Cudahy,75,11/13/2018,CL,01/31/2019,Department Stores,Milwaukee,Milwaukee
Intercontinental Milwaukee,Milwaukee,115,11/9/2018,CL,01/08/2019,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Beechworth Windows,Ladysmith,80,11/8/2018,CL,01/07/2019,All Other Plastics Product Mfg,Rusk,Northwest
Target Corporation,Greenfield,138,10/30/2018,CL,02/02/2019,Department Stores,Milwaukee,Milwaukee
"Sunlite Plastics, Inc.",Germantown,58,10/29/2018,WR,10/29/2018,Unlaminated Plastics Profile Shape Mfg,Washington,WOW
Milwaukee Athletic Club,Milwaukee,97,10/25/2018,CL,12/27/2018,Civic & Social Organizations,Milwaukee,Milwaukee
Bimbo Bakeries USA,Madison,159,10/23/2018,CL,01/02/2019,Commercial Bakeries,Dane,South Central
"Black Horse Carriers, Inc.",Kenosha,107,10/19/2018,CL,01/22/2019,General Freight Trucking Long Distance TL,Kenosha,Southeast
Home Owners Bargain Outlet,"Milwaukee, West Allis",104,10/17/2018,CL,12/20/2018,Home Centers,Milwaukee,"Employ Milwaukee, Inc."
Southwire/Coleman Cable,Pleasant Prairie,65,10/5/2018,CL,12/04/2018,Whls Trade Agents & Brokers,Kenosha,Southeast
Hi-Crush,Whitehall,37,10/2/2018,WR,09/28/2018,Description: Ind Sand Mining,Trempealeau,Western
Silgan Containers,Plover,30,9/20/2018,WR,11/24/2018,Metal Can Mfg,Portage,North Central
Marshfield Clinic Health System,Marshfield,25,9/17/2018,WR,08/16/2018,HMO â Medical Centers,Wood,North Central
Midwest Senior Living,Thiensville,30,9/1/2018,CL,11/01/2018,Assisted Living Facilities for the Elderly,Ozaukee,WOW
P.F. Chang's,Middleton,36,8/31/2018,CL,09/01/2018,Full-service restaurants,Dane,South Central
"ACCO Brands USA, LLC",Pleasant Prairie,54,8/28/2018,CL,10/26/2018,Office Supplies Merch Whls,Kenosha,Southeast
"Com-Tec Security, LLC",Greenville,23,8/9/2018,CL,07/31/2018,Computer Systems Design Services,Outagamie,Bay Area
OneTouchPoint,Green Bay,30,8/8/2018,WR,08/01/2018,Commercial Gravure Printing,Brown,Bay Area
Best Buy,Grafton,68,8/8/2018,CL,11/03/2018,Electronics Stores,Ozaukee,WOW
Midwest Senior Living,Appleton,54,8/6/2018,CL,10/01/2018,Managing Offices,Outagamie,Bay Area
West Corporation,Middleton,112,8/2/2018,WR,08/31/2018,Telemarketing & Other Contact Centers,Dane,South Central
West Corporation,Green Bay,36,8/2/2018,WR,08/31/2018,Telemarketing & Other Contact Centers,Brown,Bay Area
Schuman Cheese,Fall Creek,51,7/16/2018,WR,07/12/2018,Cheese Mfg,Eau Claire,West Central
"The Fresh Market, Inc.","Brookfield, Fox Point",102,7/10/2018,CL,08/03/2018,Supermarkets and Other Grocery Stores,"Milwaukee, Waukesha","Milwaukee, WOW"
Mayline (DBA Safco Products Co.),Sheboygan,127,7/2/2018,CL,09/04/2018,Office Furn exc Wood Mfg,Sheboygan,Bay Area
Mayline (DBA Safco Products Co.) - Revision 1,Sheboygan,127,9/4/2018,LS,11/02/2018,Office Furn exc Wood Mfg,Sheboygan,Bay Area
Mayline (DBA Safco Products Co.) - Revision 2,Sheboygan,127,10/1/2018,LS,09/04/2018,Office Furn exc Wood Mfg,Sheboygan,Bay Area
GE Energy,Waukesha,236,6/29/2018,CL,08/31/2018,Other Engine Equip Mfg,Waukesha,Waukesha-Ozaukee-Washington
Cooper Power Systems,Waukesha,52,6/29/2018,WR,09/07/2018,Elect Power & Specialty Transformer Mfg,Waukesha,Waukesha-Ozaukee-Washington
Ariens Company,Janesville,141,6/19/2018,CL,08/20/2018,Lawn & Garden Equip Mfg,Rock,Southwest
"Roche Nimblegen, Inc.",Madison,79,6/19/2018,CL,12/31/2018,Research & Dvlp in Biotech (except Nanobio),Dane,South Central
"Daniels of Janesville, LLC",Janesville,49,6/19/2018,CL,08/15/2018,Supermarkets & Other Grocery Stores,Rock,Southwest
DHL Supply Chain,Mequon,59,6/18/2018,CL,08/10/2018,General Freight Trucking Long Distance TL,Ozaukee,Waukesha-Ozaukee-Washington
Piggly Wiggly #24,Menasha,69,6/18/2018,CL,08/18/2018,Supermarkets and Other Grocery Stores,Winnebago,Fox Valley
Wells Fargo,Menomonee Falls,46,6/7/2018,CL,10/01/2018,Portfolio Management,Waukesha,Waukesha-Ozaukee-Washington
BMO Harris Bradley Center,Milwaukee,651,5/24/2018,CL,08/10/2018,Other Spectator Sports,Milwaukee,Milwaukee
"Western Industries, Inc.",Watertown,85,5/18/2018,CL,07/16/2018,Major Household Appliance Manufacturing,Jefferson,South Central
M.G. Design Associates Corporation,Pleasant Prairie,46,5/15/2018,CL,05/09/2018,Marketing Consulting Services,Kenosha,Southeast
Degen-Berglund Inc,La Crosse,30,5/9/2018,WR,07/08/2018,Home Health Equipment Rental,La Crosse,Western
Concentrix,Milwaukee,77,5/8/2018,WR,07/06/2018,Marketing Consulting Services,Milwaukee,Milwaukee
American Girl,Wilmot,185,4/19/2018,CL,06/22/2018,Doll and Stuffed Toy Mfg,Kenosha,Southeast
First Citizens Bank,Brown Deer and Glendale,100,4/9/2018,WR,06/08/2018,Commercial Banking,Milwaukee,Milwaukee
First Citizens Bank - Revision 1,Brown Deer and Glendale,100,5/2/2018,AW,06/08/2018,Commercial Banking,Milwaukee,Milwaukee
First Citizens Bank - Revision 2,Brown Deer and Glendale,111,6/8/2018,AW,06/08/2018,Commercial Banking,Milwaukee,Milwaukee
"Bon Ton Stores (Younkers, Boston Store, BonTon)","Brookfield, Eau Claire, Glendale, Greendale, Janesville, Madison, Marshfield, Milwaukee, Racine, Wauwatosa",2255,4/6/2018,CL,06/05/2018,Department Stores Managing Offices,"Brown, Dane, Eau Claire, Milwaukee, Racine, Rock, Waukesha, Wood","Bay Area, Milwaukee, North Central, South Central, Southeast, Southwest, West Central, WOW"
Sitel Group,Unknown,1,4/2/2018,WR,03/30/2018,All Other Business Support Services,Unknown,Unknown
JC Penny,Wauwatosa,520,3/28/2018,CL,06/02/2018,Electronic Shopping and Mail-Order Houses,Milwaukee,Milwaukee
"Hubbell Lighting, Inc.",Hudson,54,3/26/2018,CL,05/25/2018,Elect Equip & Wiring Merch Whls,St. Croix,West Central
Syverson Lutheran Home,Eau Claire,80,3/26/2018,CL,03/26/2018,Nursing Care Facilities (Skilled Nursing),Eau Claire,West Central
"Toys ""R"" Us, Inc.","Appleton,
Brookfield,
Green Bay,
Madison,
Onalaska,
Milwaukee,
Racine, and 
Janesville",326,3/15/2018,CL,05/14/2018,Hobby Toy & Game Stores,"Brown,
Dane,
La Crosse,
Milwaukee,
Outagamie,
Racine,
Rock, and 
Waukesha","Bay Area,
Milwaukee,
South Central,
Southeast,
Southwest,
Western, and 
WOW"
"Toys ""R"" Us, Inc. - Revision 1","Appleton,
Brookfield,
Green Bay,
Madison,
Onalaska,
Milwaukee,
Racine, and 
Janesville",326,5/30/2018,LS,06/16/2018,Hobby Toy & Game Stores,"Brown,
Dane,
La Crosse,
Milwaukee,
Outagamie,
Racine,
Rock, and 
Waukesha","Bay Area,
Milwaukee,
South Central,
Southeast,
Southwest,
Western, and 
WOW"
"ALKAR-RapidPak, Inc.",Lodi,30,3/8/2018,WR,03/08/2018,Food Product Machinery Mfg,Columbia,South Central
Foremost Farms USA,Rothschild,110,3/5/2018,CL,05/07/2018,Dry Condensed & Evaporated Dairy Products,Marathon,North Central
Care and Rehab - Dallas,Dallas,49,3/5/2018,CL,05/01/2018,Nursing Care Facilities (Skilled Nursing),Barron,West Central
"Cordstrap USA, Inc.",Sturtevant,36,2/26/2018,WR,05/01/2018,Rope Cordage & Twine Mills,Racine,Southeast
"Uniek, Inc.",Waunakee,58,2/23/2018,WR,04/30/2018,All Other Plastics Product Mfg,Dane,South Central
Gannett Publishing Services,Appleton,137,2/13/2018,CL,05/01/2018,Commercial Gravure Printing,Outagamie,Bay Area
Gannett Publishing Services - Revision 1,Appleton,137,3/23/2018,LS,05/01/2018,Commercial Gravure Printing,Outagamie,Bay Area
Gannett Publishing Services - Revision 2,Appleton,137,5/18/2018,LS,05/01/2018,Commercial Gravure Printing,Outagamie,Bay Area
Gannett Publishing Services - Revision 3,Appleton,137,6/8/2018,LS,05/01/2018,Commercial Gravure Printing,Outagamie,Bay Area
"Mike Flint Enterprises, Inc. (dba Interim Healthcare of Wisconsin; dba Mallatt's Homecare Pharmacy)",Madison and Menomonee Falls,168,2/7/2018,CL,04/01/2018,"Temporary Help Services, Other Direct Selling Estab",Dane and Waukesha,South Central and WOW
Interim Healthcare of Wisconsin - Revision 1,Madison,98,5/29/2018,LS,08/01/2018,Temporary Help Services,Dane,South Central
Compass Group,Hudson,3,2/1/2018,CL,04/01/2018,Janitorial Services,St. Croix,West Central
Younkers,Appleton,75,1/31/2018,CL,04/01/2018,Department Stores exc Discount,Outagamie,Bay Area
Younkers,Wausau,63,1/31/2018,CL,04/01/2018,Department Stores exc Discount,Marathon,North Central
"Saputo Cheese USA, Inc.",Fond du Lac,120,1/30/2018,CL,03/31/2018,Cheese Mfg,Fond du Lac,Fox Valley
"Saputo Cheese USA, Inc. - Revision 1",Fond du Lac,120,3/30/2018,LS,03/31/2018,Cheese Mfg,Fond du Lac,Fox Valley
ACCO Brands,Pleasant Prairie,26,1/22/2018,CL,03/23/2018,Stationery Product Mfg,Kenosha,Southeast
Sam's Club,Madison,129,1/16/2018,CL,03/16/2018,Warehouse Clubs and Supercenters,Dane,South Central
"Lake Country Foods, Inc.",Oconomowoc,91,1/12/2018,CL,03/16/2018,Dry Condensed & Evaporated Dairy Products,Waukesha,Waukesha-Ozaukee-Washington
Sam's Club,West Allis,165,1/11/2018,CL,03/16/2018,Warehouse Clubs and Supercenters,Milwaukee,Milwaukee
Sears Holdings,Brookfield,59,1/10/2018,WR,03/18/2018,Department Stores,Waukesha,Waukesha-Ozaukee-Washington
Sears Holdings,Green Bay,43,1/10/2018,WR,04/08/2018,Department Stores,Brown,Bay Area
F + W Media,Iola,41,12/22/2017,WR,12/21/2017,Periodical Publishers,Waupaca,Fox Valley
F + W Media - Revision 1,Iola,0,1/29/2018,RN,12/21/2017,Periodical Publishers,Waupaca,Fox Valley
Centro Hispano Milwaukee,Milwaukee,88,11/17/2017,WR,01/21/2018,Other Individual & Family Services,Milwaukee,Milwaukee
K-Mart,Stevens Point,45,11/13/2017,CL,01/21/2018,Discount Department Stores,Portage,North Central
"Authenticom, Inc.",La Crosse,55,11/8/2017,WR,02/02/2018,Data Processing Hosting & Related Services,La Crosse,Western
"Bosch Packaging Technology, Inc.",Shell Lake and New Richmond,35,11/6/2017,CL,01/01/2018,Ind Machinery Merch Whls,St. Croix and Washburn,Northwest and West Central
Ryder Integrated Logistics Inc,Greenville,159,10/30/2017,CL,12/31/2017,General Freight Trucking Long Distance TL,Outagamie,Bay Area
"U.S. Paper Converters, Inc.",Appleton,52,10/23/2017,CL,12/31/2017,All Other Converted Paper Product Mfg.,Outagamie,Bay Area
"U.S. Paper Converters, Inc. - Revision 1",Appleton,52,11/15/2017,LS,12/21/2017,All Other Converted Paper Product Mfg.,Outagamie,Bay Area
Molina Healthcare Inc.,Milwaukee,53,10/17/2017,WR,12/15/2017,Managing Offices,Milwaukee,Milwaukee
Molina Healthcare Inc. - Revision 1,Milwaukee,59,12/11/2017,"AW, LS",03/01/2018,Managing Offices,Milwaukee,Milwaukee
Molina Healthcare Inc. - Revision 2,Milwaukee,78,12/12/2017,AW,03/01/2018,Managing Offices,Milwaukee,Milwaukee
Spartech Packaging,Ripon,70,10/5/2017,CL,12/04/2017,Nonpackaging Plastics Film & Sheet Mfg,Fond du Lac,Fox Valley
Webcrafters,Waunakee,258,10/2/2017,CL,12/31/2017,Books Printing,Dane,South Central
Mad Design and Marketing,Madison,2,9/29/2017,WR,11/01/2017,Marketing Consulting Services,Dane,South Central
Mad Design and Marketing - Revision 1,Madison,2,10/9/2017,LS,10/01/2017,Marketing Consulting Services,Dane,South Central
Appvion,Appleton,61,9/18/2017,CL,10/15/2017,Paper Bag & Coated & Treated Paper Mfg,Outagamie,Bay Area
Ryder,Beaver Dam,100,9/14/2017,CL,12/15/2017,Refrigerated Warehousing & Storage,Dodge,South Central
"Pioneer Metal Finishing, LLC",Oshkosh,52,9/13/2017,CL,11/13/2017,Metal Coating & Nonprecious Engraving,Winnebago,Fox Valley
"Mega Mart, LLC. (dba Pick 'n Save)",Janesville,71,9/6/2017,CL,11/04/2017,Supermarkets & Other Grocery Stores,Rock,Southwest
Jackson National Life Insurance,Appleton,11,9/1/2017,CL,11/01/2017,Direct Life Insurance Carriers,Outagamie,Bay Area
Jackson National Life Insurance - Revision 1,Appleton,34,12/18/2017,"AW, LS",02/16/2018,Direct Life Insurance Carriers,Outagamie,Bay Area
Jackson National Life Insurance - Revision 2,Appleton,115,1/29/2018,"AW, LS",04/17/2018,Direct Life Insurance Carriers,Outagamie,Bay Area
Jackson National Life Insurance - Revision 3,Appleton,145,1/30/2018,"AW, LS",03/16/2018,Direct Life Insurance Carriers,Outagamie,Bay Area
"Gordy's Chippewa Foods, Inc.","Arcadia, Augusta, Barron, Black River Falls, Chetek, Chippewa Falls, Cornell, Eau Claire, Galesville, Hayward, La Crosse, Ladysmith, Neillsville, Rice Lake, Richland Center, Shell Lake, Spencer, Stanley, Tomah, Whitehall",1008,8/29/2017,CL,10/28/2017,Supermarkets & Other Grocery Stores,"Barron, Chippewa, Clark, Eau Claire, Jackson, La Crosse, Marathon, Monroe, Richland, Rusk, Sawyer, Trempealeau, Washburn","North Central, Northwest, Southwest, West Central, Western"
Fortis Management Group LLC,Milwaukee,225,8/22/2017,CL,10/22/2017,Managing Offices,Milwaukee,Milwaukee
Appleton Coated LLC,Combined Locks,620,8/21/2017,CL,10/16/2017,Paper exc Newsprint Mills,Outagamie,Bay Area
"PDQ Food Stores, Inc.","Fitchburg, Kenosha, Madison, Middleton, Waukesha",313,8/7/2017,CL,10/09/2017,Gasoline Stations with Convenience Stores,"Dane, Kenosha, Waukesha","Southeast, South Central, WOW"
"Thunder Pallet, Inc.",Theresa,42,8/2/2017,CL,10/02/2017,Wood Container & Pallet Mfg,Dodge,South Central
"Marobo, LLC",Mayville,4,8/2/2017,CL,10/02/2017,Wood Container & Pallet Mfg,Dodge,South Central
Brennan's Market,"Brookfield, Madison, Monroe, New Glarus, & Oconomowoc",139,8/1/2017,CL,09/30/2017,All Other Specialty Food Stores,"Dane, Green, & Waukesha","South Central, Southwest, & WOW"
"The Carlson Company, Inc.",Madison,49,7/25/2017,CL,07/25/2017,Custom Architectural Woodwork & Millwork,Dane,South Central
Black Bear Bottling Group LLC,Oak Creek,76,7/19/2017,CL,09/15/2017,Soft Drink Mfg,Milwaukee,Milwaukee
Sears Auto Center,Greendale,8,7/10/2017,CL,09/17/2017,Automotive Parts & Accessories,Milwaukee,Milwaukee
Sears Store,Greendale,88,7/10/2017,CL,09/17/2017,Department Stores exc Discount,Milwaukee,Milwaukee
Gander Mountain,"Deforest, Franklin, Green Bay, Janesville, Kenosha, Onalaska, Rothschild, Waukesha, West Baraboo",371,7/3/2017,CL,08/30/2017,Sporting Goods Stores,"Brown, Dane, Kenosha, La Crosse, Marathon, Milwaukee, Rock, Sauk, Waukesha","Bay Area, Milwaukee, North Central, South Central, Southeast, Southwest, Western, WOW"
Imperial Laundry Systems LLC,Racine,121,6/23/2017,CL,08/23/2017,Drycleaning & Laundry Services,Racine,Southeast
Kmart,La Crosse,68,6/13/2017,CL,09/03/2017,Discount Department Stores,La Crosse,Western
Kmart,Medford,57,6/13/2017,CL,09/03/2017,Discount Department Stores,Taylor,Northwest
Kmart,West Allis,114,6/13/2017,CL,09/03/2017,Discount Department Stores,Milwaukee,Milwaukee
SaintA,Milwaukee,82,6/7/2017,WR,08/15/2017,Residential Mental & Substance,Milwaukee,Milwaukee
ADSEA Wisconsin,Portage,58,6/5/2017,CL,08/01/2017,Motor Vehicle Merch Whls,Columbia,South Central
Goetz Companies (dba Petro of Portage Travel Center),Portage,104,5/30/2017,CL,07/31/2017,Gasoline Stations with Convenience Stores,Columbia,South Central
"Zalk Josephs Fabricators, LLC",Stoughton,55,5/30/2017,WR,06/22/2017,Fabricated Structural Metal Mfg,Dane,South Central
"Colony Brands, Inc.",Madison,103,5/23/2017,CL,12/29/2017,Mail Order Houses,Dane,South Central
Modern Equipment Company LLC,Port Washington,59,5/4/2017,CL,07/10/2017,Other Industrial Machinery Mfg,Ozaukee,WOW
Babcock and Wilcox Universal,Beloit,55,4/5/2017,WR,06/03/2017,Misc General Purpose Machinery Mfg,Rock,Southwest
"VF Outdoor, LLC",Appleton,380,4/4/2017,WR,06/09/2017,Commercial Screen Printing,Outagamie,Bay Area
"Compass Group USA, Inc. dba Chartwells",Whitewater,302,4/4/2017,CL,05/31/2017,Food Service Contractors,Jefferson,South Central
Dollar Express,"Appleton, Eau Claire, Milwaukee, St. Francis",50,4/3/2017,CL,06/30/2017,All Other General Merchandise Stores,"Eau Claire, Milwaukee, Outagamie","Bay Area, Milwaukee, West Central"
"The Garvey Group, LLC","Franklin, Sturtevant, Milwaukee",66,4/3/2017,CL,06/01/2017,Commercial Gravure Printing,"Milwaukee, Racine","Milwaukee, Southeast"
The Garvey Group LLC - Revision 1,"Franklin, Milwaukee",66,7/21/2017,LS,07/31/2017,Commercial Gravure Printing,Milwaukee,Milwaukee
Tulip Molded Plastics Corp.,Milwaukee,136,3/31/2017,CL,07/02/2017,All Other Plastics Product Mfg,Milwaukee,Milwaukee
"Alorica, Inc.",La Crosse,137,3/27/2017,WR,05/26/2017,Telemarketing & Other Contact Centers,La Crosse,Western
SP Plus Corporation,Milwaukee,60,3/27/2017,CL,03/31/2017,Parking Lots & Garages,Milwaukee,Milwaukee
Gannett Consumer Solutions Center,Milwaukee,24,3/14/2017,CL,05/12/2017,Newspaper Publishers,Milwaukee,Milwaukee
River Steel,West Salem,20,3/7/2017,CL,03/31/2017,Fabricated Structural Metal Mfg,La Crosse,Western
Spredfast Inc.,Madison,47,2/7/2017,CL,02/07/2017,Marketing Consulting Services,Dane,South Central
"Promotions Unlimited (Roosevelt Capital, LLC)",Racine,77,2/6/2017,CL,01/17/2017,Other Nondurable Goods Merch Whls,Racine,Southeast
Gannett Publishing Services,Wausau,30,2/3/2017,CL,04/02/2017,Commercial Gravure Printing,Wausau,North Central
"River City Distributing Co., Inc.",Watertown,107,1/23/2017,CL,03/31/2017,Beer & Ale Merch Whls,Jefferson,South Central
McKesson Corporation,La Crosse,67,1/17/2017,CL,03/31/2017,Druggists Goods Merch Whls,La Crosse,Western
"BMR NO. 1, LLC dba Arrow Hyundai",West Allis,57,12/22/2016,CL,03/01/2017,New Car Dealers,Milwaukee,Milwaukee
"Walter USA, LLC.",Waukesha,39,12/12/2016,WR,02/10/2017,Cutting Tool & Machine Tool Accessory Mfg,Waukesha,WOW
The Lutheran Home: River Falls,River Falls,62,12/8/2016,CL,02/09/2016,Nursing Care Facilities (Skilled Nursing),St Croix,West Central
Clearwater Paper,Neenah,91,11/30/2016,WR,12/31/2016,Paper exc Newsprint Mills,Winnebago,Fox Valley
Masonite Corporation,Algoma,180,11/9/2016,CL,01/13/2017,Wood Window & Door Mfg,Kewaunee,Bay Area
Terex Utilities,Waukesha,92,11/9/2016,CL,01/06/2017,Motor Vehicle Body Mfg,Waukesha,WOW
Milwaukee Center for Independence,Milwaukee,1062,11/2/2016,WR,12/31/2016,Other Individual & Family Services,Milwaukee,Milwaukee
Gossen Corporation,Glendale,92,11/1/2016,CL,11/01/2016,Unlaminated Plastics Profile Shape Mfg,Milwaukee,Milwaukee
Cumberland Healthcare,Cumberland,76,10/31/2016,CL,12/31/2016,General Medical & Surgical Hospitals,Barron,West Central
"TreeHouse Private Brands, Inc.",Ripon,51,10/10/2016,CL,11/18/2016,Cookie & Cracker Mfg,Fond du Lac,Fox Valley
Home Security of America (HSA),Cross Plains,121,10/7/2016,CL,12/06/2016,Appliance Repair & Maint,Dane,South Central
Owens Corning,Ladysmith,71,10/3/2016,CL,11/30/2016,Custom Architectural Woodwork & Millwork,Rusk,Northwest
Gannett Publishing Services,Waupaca,52,10/3/2016,CL,12/03/2016,Commercial Gravure Printing,Waupaca,Fox Valley
UTi,Sturtevant,200,9/20/2016,CL,01/15/2017,General Warehousing & Storage,Racine,Southeast
"Brillion Iron Works, Inc.",Brillion,340,9/19/2016,CL,11/11/2016,Iron Foundries,Calumet,Fox Valley
Graebel Moving Services,Wausau,50,9/14/2016,WR,11/14/2016,Managing Offices,Marathon,North Central
Spirit Manufacturing Inc.,New Berlin,60,9/1/2016,CL,11/18/2016,Machine Shops,Waukesha,WOW
Manitowoc Cranes,Manitowoc,528,8/10/2016,CL,10/01/2016,Construction Machinery Mfg,Manitowoc,Bay Area
Manitowoc Cranes - Revision 1,Manitowoc,528,10/14/2016,LS,01/06/2017,Construction Machinery Mfg,Manitowoc,Bay Area
Sentry,Waukesha,37,8/3/2016,CL,10/03/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Caterpillar Inc.,Prentice,152,8/2/2016,CL,09/30/2016,All Other Ind Machinery Mfg,Price,Northwest
Southern Wisconsin Foods,Reedsburg,22,7/13/2016,CL,09/01/2016,Limited-service restaurants,Sauk,South Central
"Piggly Wiggly Midwest, LLC.",Sheboygan,83,7/13/2016,CL,09/01/2016,Supermarkets & Other Grocery Stores,Sheboygan,Bay Area
"Cascade Purchase Holdings, Inc. (d/b/a New Hampshire Industries, Inc.)",Horicon,39,7/1/2016,CL,09/28/2016,Hardware Mfg,Dodge,South Central
HUSCO International,Waukesha,97,7/1/2016,WR,09/16/2016,Managing Offices,Waukesha,WOW
Sports Authority,Greenfield,46,6/27/2016,CL,08/19/2016,Sporting Goods Stores,Milwaukee,Milwaukee
Sports Authority - Revision 1,Greenfield,46,7/15/2016,LS,07/18/2016,Sporting Goods Stores,Milwaukee,Milwaukee
CompuCom,Waukesha,16,6/27/2016,CL,08/31/2016,Computer & Software Merch Whls,Waukesha,WOW
Southern Wisconsin Foods dba Burger King,Milton,20,6/20/2016,CL,07/31/2016,Limited-service restaurants,Rock,Southwest
Global Industrial Services Inc.,Milwaukee,27,6/20/2016,CL,08/15/2016,Ind Machinery Merch Whls,Milwaukee,Milwaukee
Air Wisconsin Airlines,Milwaukee,53,6/6/2016,CL,08/18/2016,Scheduled Passenger Air Trans,Milwaukee,Milwaukee
Ameridrives International,Green Bay,37,6/6/2016,CL,08/02/2016,Mechanical Power Transmission Equip Manufacturing,Brown,Bay Area
"Foster Needle Co., Inc.",Manitowoc,64,6/1/2016,CL,07/31/2016,Fastener Button Needle & Pin Mfg,Manitowoc,Bay Area
"Experience Works, Inc.",West Bend,5,5/31/2016,CL,07/01/2016,Vocational Rehabilitation Services,Washington,WOW
Anchor Bank FSB - Main Street,Madison,46,5/19/2016,WR,09/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - East Towne Blvd.,Madison,46,5/19/2016,WR,09/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - City View Dr.,Madison,46,5/19/2016,WR,09/30/2016,Savings Institutions,Dane,South Central
Anchor Bank FSB - Holiday Drive,Janesville,1,5/19/2016,WR,09/30/2016,Savings Institutions,Rock,Southwest
Anchor Bank FSB - Division Street,Stevens Point,1,5/19/2016,WR,09/30/2016,Savings Institutions,Portage,North Central
"Graphic Packaging International, Inc.",Menasha,230,5/18/2016,CL,07/16/2016,Coated & Laminated Packaging Paper Mfg,Winnebago,Fox Valley
Sodexo,Waukesha,78,5/18/2016,CL,06/15/2016,Food Service Contractors,Waukesha,WOW
Sears Holding Company,Wausau,33,5/16/2016,CL,08/07/2016,Department Stores exc Discount,Marathon,North Central
Sears Holding Company,Wausau,3,5/16/2016,CL,08/07/2016,Automotive Parts & Accessories Stores,Marathon,North Central
Monsanto Company,Middleton,30,5/12/2016,CL,07/12/2016,Other Chemicals Merch Whls,Dane,South Central
"Tyson Foods, Inc.",Jefferson,248,5/9/2016,CL,07/09/2016,Meat Processed from Carcasses,Jefferson,South Central
"Joy Global, Inc.",Milwaukee,130,5/11/2016,"CL, AW",11/30/2015,Overhead Cranes Hoists and Monorail Systems,Milwaukee,Milwaukee
Kraft Heinz Foods Company,Madison,561,4/25/2016,WR,06/30/2016,Meat Processed from Carcasses,Dane,South Central
"United Solutions, Inc.",Pleasant Prairie,161,4/19/2016,CL,06/24/2016,Packaging & Labeling Services,Kenosha,Southeast
Fairmont Santrol,Hagar City,3,4/14/2016,WR,04/14/2016,Ind Sand Mining,Pierce,West Central
Fairmont Santrol,Maiden Rock,39,4/14/2016,WR,04/14/2016,Ind Sand Mining,Pierce,West Central
Fairmont Santrol,Menomonie,13,4/14/2016,WR,04/14/2016,Ind Sand Mining,Dunn,West Central
"Kohl's Department Stores, Inc.",Brown Deer,83,4/8/2016,CL,06/19/2016,Office Admin Services,Milwaukee,Milwaukee
Rock-Walworth Comprehensive Family Services Inc.-Janesville Community Kids,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Walworth Co. RWCFS,Delavan,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Janesville Head Start,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Lake Geneva,Lake Geneva,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Delavan,Delavan,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Beloit,Beloit,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Sharon,Sharon,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Whitewater,Whitewater,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Beloit Hackett Head Start,Beloit,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Superior Silica Sands,New Auburn,9,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Prairie Farm,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Chetek,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Barron,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
